İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202512-15344;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-2004;Kombine Extruder Hattı Theta;DOLGU KAPLAMA;1.1;26.1;0.941;0.0;0.0;1.035;91.0;SÜLEYMAN KOÇ;OPR-2005;2025;12;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;29;5647;112.94;1;353;7.06;1;1;1;1;26.1;0.9;110;20.82;80.96;94.71;15.97
WO-202512-15345;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;1.8;38.4;1.632;0.0;0.0;2.038;16.4;İBRAHİM ÖZTÜRK;OPR-2004;2025;12;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;34;2000;190.0;2;160;15.2;1;1;1;1;38.4;1.6;30;44.13;58.28;90.58;23.29
WO-202512-15346;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İZOLASYON EKSTRÜZYON;1.1;30.5;0.157;0.0;0.0;0.788;133.2;AHMET YILMAZ;OPR-1001;2025;12;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;32;6300;50.4;1;300;2.4;1;1;1;1;30.5;0.2;130;11.37;100.0;96.04;10.92
WO-202512-15347;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İZOLASYON EKSTRÜZYON;0.0;15.5;1.439;0.0;0.0;0.856;18.8;HÜSEYİN ÇELİK;OPR-1004;2025;12;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;17;964;91.58;0;56;5.32;1;1;1;1;15.5;1.4;30;24.5;53.42;90.48;11.84
WO-202512-15348;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;1.0;10.2;0.545;0.0;0.0;1.952;28.6;OSMAN YILDIZ;OPR-2002;2025;12;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;11;3345;50.17;1;315;4.72;1;1;1;1;10.2;0.5;45;34.39;64.99;89.9;20.09
WO-202512-15349;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;1.9;32.7;0.535;0.0;0.0;1.978;81.4;OSMAN YILDIZ;OPR-2002;2025;12;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;32;9663;77.3;2;707;5.66;1;1;1;1;32.7;0.5;120;35.07;67.4;91.89;21.72
WO-202512-15350;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DOLGU KAPLAMA;0.9;35.9;0.72;0.947;0.0;3.326;32.2;İSMAİL ÖZDEMİR;OPR-2001;2025;12;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;33;6429;96.44;1;371;5.56;1;1;1;1;35.9;0.7;45;44.96;66.39;89.15;26.61
WO-202512-15351;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;20.12.2025;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.1;47.8;0.482;0.0;0.0;29.138;20.0;ALİ KAYA;OPR-1005;2025;12;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;44;34909;523.63;2;1891;28.36;1;1;1;1;47.8;0.5;40;100.0;44.84;93.84;42.08
WO-202512-15352;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;ÇELİK ZIRH SARMAL;1.1;9.7;1.483;0.0;0.0;0.788;13.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;12;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;11;650;61.75;1;70;6.65;1;1;1;1;9.7;1.5;30;24.64;50.31;85.07;10.54
WO-202512-15353;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;0.9;22.6;0.524;0.0;0.0;1.95;30.8;SÜLEYMAN KOÇ;OPR-2005;2025;12;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Elektrolitik Bakır;25;3603;54.04;1;297;4.46;1;1;1;1;22.6;0.5;40;32.98;78.87;92.36;24.02
WO-202512-15354;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;3.3;37.4;0.828;0.0;0.0;1.409;89.3;MEHMET DEMİR;OPR-1002;2025;12;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;38;7550;188.75;3;650;16.25;1;1;1;1;37.4;0.8;90;29.07;100.0;86.83;25.25
WO-202512-15355;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;1.8;22.6;0.653;0.214;0.0;1.325;30.6;SÜLEYMAN KOÇ;OPR-2005;2025;12;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;25;2430;36.45;2;270;4.05;1;1;1;1;22.6;0.7;40;28.55;83.14;89.06;21.14
WO-202512-15356;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;0.0;18.0;0.867;0.0;0.355;14.411;15.8;MUSTAFA ŞAHİN;OPR-1003;2025;12;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;18;13669;205.03;0;731;10.96;1;1;1;1;18.0;0.9;40;100.0;39.86;91.03;36.29
WO-202512-15357;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DOLGU KAPLAMA;1.0;13.4;0.853;0.0;0.0;1.44;29.3;MUSTAFA ŞAHİN;OPR-1003;2025;12;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;13;2532;37.98;1;268;4.02;1;1;1;1;13.4;0.9;40;28.06;66.39;88.27;16.44
WO-202512-15358;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;0.0;21.6;0.232;0.0;0.0;0.269;132.1;İSMAİL ÖZDEMİR;OPR-2001;2025;12;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;22;2134;17.07;0;66;0.53;1;1;1;1;21.6;0.2;120;7.06;100.0;91.78;6.48
WO-202512-15359;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;1.9;43.0;0.619;0.0;0.845;0.893;69.2;MEHMET DEMİR;OPR-1002;2025;12;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;38;3707;92.68;2;293;7.33;1;1;1;1;43.0;0.6;80;22.01;86.13;93.76;17.77
WO-202512-15360;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;0.9;10.5;0.686;0.0;0.447;0.393;74.0;ALİ KAYA;OPR-1005;2025;12;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;12;1746;43.65;1;204;5.1;1;1;1;1;10.5;0.7;90;15.24;83.59;89.83;11.44
WO-202512-15361;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;2.1;35.1;0.494;1.208;0.0;1.032;76.5;MEHMET DEMİR;OPR-1002;2025;12;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;32;4739;118.48;2;361;9.03;1;1;1;1;35.1;0.5;80;19.06;81.41;93.54;14.51
WO-202512-15362;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;3.1;48.8;0.758;0.0;0.0;8.098;30.0;ALİ KAYA;OPR-1005;2025;12;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;48;14594;218.91;3;961;14.41;1;1;1;1;48.8;0.8;40;100.0;68.37;95.96;65.61
WO-202512-15363;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.1;20.2;1.595;0.0;0.0;1.098;20.5;İBRAHİM ÖZTÜRK;OPR-2004;2025;12;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;23;1349;128.16;1;91;8.64;1;1;1;1;20.2;1.6;30;33.58;58.94;93.01;18.41
WO-202512-15364;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;2.0;62.2;0.44;0.0;0.0;1.948;96.9;MUSTAFA ŞAHİN;OPR-1003;2025;12;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;57;11320;90.56;2;480;3.84;1;1;1;1;62.2;0.4;130;30.97;67.39;93.34;19.48
WO-202512-15365;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;2.2;62.6;0.473;0.0;0.0;2.384;78.9;MEHMET DEMİR;OPR-1002;2025;12;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;57;11280;282.0;2;520;13.0;1;1;1;1;62.6;0.5;80;41.0;89.89;96.91;35.72
WO-202512-15366;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;3.1;60.3;0.202;0.0;0.0;1.152;122.1;MEHMET DEMİR;OPR-1002;2025;12;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;AL-1350;Alüminyum Alaşım;57;8434;67.47;3;566;4.53;1;1;1;1;60.3;0.2;120;16.5;100.0;90.01;14.85
WO-202512-15367;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;4.3;52.5;0.728;0.0;0.0;2.291;59.8;SÜLEYMAN KOÇ;OPR-2005;2025;12;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;55;8218;205.45;4;632;15.8;1;1;1;1;52.5;0.7;80;31.9;66.05;89.51;18.86
WO-202512-15368;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;2.1;31.5;0.571;0.0;0.0;2.503;35.3;HASAN AYDIN;OPR-2003;2025;12;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;36;5298;79.47;2;402;6.03;1;1;1;1;31.5;0.6;40;38.78;77.62;96.38;29.01
WO-202512-15369;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;2.0;32.3;0.756;0.0;0.697;0.574;83.8;MEHMET DEMİR;OPR-1002;2025;12;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;29;2886;72.15;2;214;5.35;1;1;1;1;32.3;0.8;90;17.29;92.49;93.34;14.93
WO-202512-15370;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.7;38.7;0.671;0.0;0.0;3.716;26.0;SÜLEYMAN KOÇ;OPR-2005;2025;12;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;39;5788;86.82;3;512;7.68;1;1;1;1;38.7;0.7;40;49.71;64.19;89.66;28.61
WO-202512-15371;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;2.0;26.5;0.738;0.0;0.0;1.175;74.6;SÜLEYMAN KOÇ;OPR-2005;2025;12;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;27;5263;131.58;2;537;13.43;1;1;1;1;26.5;0.7;90;25.49;86.37;87.06;19.17
WO-202512-15372;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İZOLASYON EKSTRÜZYON;1.8;50.7;0.624;0.0;0.0;4.545;56.0;HÜSEYİN ÇELİK;OPR-1004;2025;12;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;51;15271;229.06;2;629;9.44;1;1;1;1;50.7;0.6;50;56.13;100.0;90.61;50.86
WO-202512-15373;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DOLGU KAPLAMA;1.8;32.0;0.192;0.0;0.0;1.924;94.5;MUSTAFA ŞAHİN;OPR-1003;2025;12;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;36;10907;87.26;2;683;5.46;1;1;1;1;32.0;0.2;120;25.14;76.57;93.61;18.02
WO-202512-15374;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;4.3;35.6;0.345;0.0;0.0;1.176;103.3;MUSTAFA ŞAHİN;OPR-1003;2025;12;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;37;7286;58.29;4;914;7.31;1;1;1;1;35.6;0.3;130;18.35;73.47;92.08;12.42
WO-202512-15375;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;0.0;33.7;0.328;0.0;0.0;0.758;145.6;AHMET YILMAZ;OPR-1001;2025;12;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;34;6620;52.96;0;180;1.44;1;1;1;1;33.7;0.3;130;14.62;100.0;94.9;13.87
WO-202512-15376;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;1.0;64.7;0.16;0.0;0.0;2.132;132.4;İSMAİL ÖZDEMİR;OPR-2001;2025;12;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;57;16943;135.54;1;457;3.66;1;1;1;1;64.7;0.2;120;26.37;100.0;96.79;25.53
WO-202512-15377;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;2.6;29.5;0.641;0.0;0.0;1.162;31.6;İBRAHİM ÖZTÜRK;OPR-2004;2025;12;XLPE;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;Alüminyum Alaşım;28;2204;33.06;3;276;4.14;1;1;1;1;29.5;0.6;40;22.35;85.5;87.68;16.75
WO-202512-15378;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;0.0;21.9;0.558;0.0;0.0;1.124;49.3;İSMAİL ÖZDEMİR;OPR-2001;2025;12;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Elektrolitik Bakır;23;3324;49.86;0;126;1.89;1;1;1;1;21.9;0.6;50;24.1;87.76;93.09;19.69
WO-202512-15379;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DOLGU KAPLAMA;2.3;60.3;0.42;0.0;0.0;0.708;132.0;AHMET YILMAZ;OPR-1001;2025;12;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;57;5606;44.85;2;294;2.35;1;1;1;1;60.3;0.4;120;12.73;100.0;89.58;11.41
WO-202512-15380;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;1.1;10.5;0.575;0.0;0.0;0.302;54.9;SÜLEYMAN KOÇ;OPR-2005;2025;12;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;10;994;24.85;1;106;2.65;1;1;1;1;10.5;0.6;80;12.79;63.89;92.39;7.55
WO-202512-15381;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.1;19.2;1.599;0.0;0.0;1.3;12.5;İBRAHİM ÖZTÜRK;OPR-2004;2025;12;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;17;975;92.62;1;105;9.97;1;1;1;1;19.2;1.6;30;38.2;36.41;87.62;12.19
WO-202512-15382;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.0;11.1;0.536;0.0;0.0;0.328;34.4;HASAN AYDIN;OPR-2003;2025;12;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;12;677;10.15;0;43;0.65;1;1;1;1;11.1;0.5;50;11.94;72.51;90.23;7.81
WO-202512-15383;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;0.9;13.6;0.863;0.0;0.0;0.632;62.7;SÜLEYMAN KOÇ;OPR-2005;2025;12;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;16;2378;59.45;1;172;4.3;1;1;1;1;13.6;0.9;80;19.47;87.7;91.14;15.56
WO-202512-15384;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;1.0;37.2;0.659;0.0;0.0;0.767;74.3;ALİ KAYA;OPR-1005;2025;12;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;35;3419;85.48;1;181;4.53;1;1;1;1;37.2;0.7;90;18.15;73.84;98.35;13.18
WO-202512-15385;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;1.1;32.1;0.512;0.0;0.0;1.438;107.1;MUSTAFA ŞAHİN;OPR-1003;2025;12;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;31;9240;73.92;1;360;2.88;1;1;1;1;32.1;0.5;130;25.19;71.86;97.84;17.71
WO-202512-15386;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;0.0;17.8;0.467;0.0;0.0;0.637;124.5;MEHMET DEMİR;OPR-1002;2025;12;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;16;4758;38.06;0;122;0.98;1;1;1;1;17.8;0.5;120;12.55;91.72;93.29;10.74
WO-202512-15387;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;3.0;42.7;0.175;0.0;0.0;0.539;136.7;MEHMET DEMİR;OPR-1002;2025;12;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;45;4417;35.34;3;383;3.06;1;1;1;1;42.7;0.2;130;9.92;100.0;89.37;8.86
WO-202512-15388;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.12.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;3.3;49.5;0.873;0.0;0.0;1.049;68.6;ALİ KAYA;OPR-1005;2025;12;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;44;4316;107.9;3;384;9.6;1;1;1;1;49.5;0.9;90;22.19;72.87;87.93;14.22
WO-202512-15389;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;23.12.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;4.4;32.4;0.8;0.0;0.0;1.408;75.4;MEHMET DEMİR;OPR-1002;2025;12;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;32;6374;159.35;4;826;20.65;1;1;1;1;32.4;0.8;80;25.44;90.1;85.73;19.65
WO-202512-15390;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;23.12.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;0.0;7.7;0.471;0.0;0.0;0.322;96.8;MUSTAFA ŞAHİN;OPR-1003;2025;12;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;AL-1350;Alüminyum Alaşım;8;1872;14.98;0;128;1.02;1;1;1;1;7.7;0.5;120;10.32;73.11;89.54;6.75
WO-202512-15391;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;23.12.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;1.0;18.6;0.375;0.0;0.0;0.67;132.9;AHMET YILMAZ;OPR-1001;2025;12;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;AL-1350;Alüminyum Alaşım;18;5341;42.73;1;359;2.87;1;1;1;1;18.6;0.4;120;11.6;100.0;97.02;11.26
WO-202512-15392;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;23.12.2025;SALI;XTR-2004;Kombine Extruder Hattı Theta;DIŞ KILIF SIVAMA;1.0;36.6;0.756;0.99;0.0;1.068;98.4;ALİ KAYA;OPR-1005;2025;12;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;43;6303;126.06;1;297;5.94;1;1;1;1;36.6;0.8;110;24.73;84.9;94.87;19.92
WO-202512-15393;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;23.12.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.1;18.4;0.842;0.0;0.0;0.959;64.4;SÜLEYMAN KOÇ;OPR-2005;2025;12;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;19;3705;92.62;1;295;7.38;1;1;1;1;18.4;0.8;80;19.69;88.03;87.4;15.15
WO-202512-15394;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;23.12.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;0.0;19.6;0.524;0.0;0.0;10.375;25.7;AHMET YILMAZ;OPR-1001;2025;12;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;21;16002;240.03;0;798;11.97;1;1;1;1;19.6;0.5;45;100.0;52.47;96.52;50.64
WO-202512-15395;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;23.12.2025;SALI;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;0.0;8.2;0.751;0.0;0.0;0.633;43.7;AHMET YILMAZ;OPR-1001;2025;12;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;9;1659;24.88;0;141;2.11;1;1;1;1;8.2;0.8;40;18.47;98.29;91.67;16.64
