İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202511-14545;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.0;15.0;1.971;0.0;0.0;0.0;1.107;14.4;İBRAHİM ÖZTÜRK;OPR-2004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;16;955;90.72;1;65;6.17;1;1;1;1;15.0;2.0;30;;;34.1;46.74;91.99;14.66
WO-202511-14546;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;0.9;10.5;0.891;0.0;0.0;0.0;0.385;70.7;SÜLEYMAN KOÇ;OPR-2005;2025;11;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;11;1634;40.85;1;166;4.15;1;1;1;1;10.5;0.9;90;;;16.74;78.88;87.47;11.55
WO-202511-14547;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;1.1;16.6;1.691;0.0;0.0;0.0;0.955;16.2;İBRAHİM ÖZTÜRK;OPR-2004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;16;929;88.25;1;91;8.64;1;1;1;1;16.6;1.7;30;;;31.56;54.64;90.35;15.58
WO-202511-14548;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;2.0;34.7;0.795;0.0;0.0;0.0;0.97;82.2;HASAN AYDIN;OPR-2003;2025;11;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;32;4787;119.68;2;313;7.83;1;1;1;1;34.7;0.8;90;;;24.0;96.32;90.08;20.83
WO-202511-14549;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;3.2;55.4;0.649;0.0;0.0;0.0;3.457;47.3;MEHMET DEMİR;OPR-1002;2025;11;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;50;9802;147.03;3;798;11.97;1;1;1;1;55.4;0.6;45;;;51.59;98.8;90.77;46.27
WO-202511-14550;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İLETKEN TEL ÇEKİM;0.9;24.8;1.754;0.0;0.0;0.0;1.786;13.7;HÜSEYİN ÇELİK;OPR-1004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;25;1464;139.08;1;96;9.12;1;1;1;1;24.8;1.8;30;;;42.71;39.62;91.52;15.49
WO-202511-14551;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;2.6;40.9;0.76;0.0;0.0;0.0;1.309;93.2;MEHMET DEMİR;OPR-1002;2025;11;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;37;7319;182.98;3;681;17.03;1;1;1;1;40.9;0.8;90;;;25.07;97.62;91.29;22.34
WO-202511-14552;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.9;22.5;0.968;0.0;0.0;0.0;8.267;35.4;AHMET YILMAZ;OPR-1001;2025;11;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;22;17572;263.58;1;828;12.42;1;1;1;1;22.5;1.0;50;;;100.0;73.71;89.4;65.9
WO-202511-14553;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;0.0;9.5;0.554;0.0;2.856;0.0;1.273;40.2;SÜLEYMAN KOÇ;OPR-2005;2025;11;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;11;3069;46.03;0;231;3.46;1;1;1;1;9.5;0.6;45;;Anlık Arıza (Ağır Hizmet Extruder Hattı Eta - Yüksek Risk);23.74;78.69;94.12;17.58
WO-202511-14554;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;1.0;17.5;0.914;0.0;0.0;0.0;0.715;34.9;SÜLEYMAN KOÇ;OPR-2005;2025;11;XLPE;KBL-302;YVV 3x35 mm² Ağır Sanayi;6;CU-ETP;Elektrolitik Bakır;19;1495;22.43;1;105;1.57;1;1;1;1;17.5;0.9;50;;;20.65;69.01;88.94;12.67
WO-202511-14555;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;1.0;16.3;0.845;0.0;0.0;0.0;0.573;45.6;AHMET YILMAZ;OPR-1001;2025;11;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;16;1568;23.52;1;132;1.98;1;1;1;1;16.3;0.8;45;;;17.55;97.85;90.75;15.59
WO-202511-14556;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;2.1;31.4;0.965;0.0;0.0;0.0;1.607;65.8;ALİ KAYA;OPR-1005;2025;11;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;32;6346;158.65;2;454;11.35;1;1;1;1;31.4;1.0;80;;;33.27;75.33;92.69;23.23
WO-202511-14557;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2004;Kombine Extruder Hattı Theta;DOLGU KAPLAMA;0.9;28.1;1.027;0.0;0.0;0.0;1.09;106.4;HASAN AYDIN;OPR-2003;2025;11;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;28;6957;139.14;1;293;5.86;1;1;1;1;28.1;1.0;110;;;26.77;86.85;93.15;21.66
WO-202511-14558;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;2.7;48.3;0.704;0.0;0.0;0.0;4.099;32.9;İSMAİL ÖZDEMİR;OPR-2001;2025;11;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;54;8087;121.3;3;463;6.94;1;1;1;1;48.3;0.7;40;;;62.22;85.79;94.75;50.58
WO-202511-14559;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;1.0;17.6;0.366;0.0;0.0;0.0;0.91;108.3;MUSTAFA ŞAHİN;OPR-1003;2025;11;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;20;5914;47.31;1;386;3.09;1;1;1;1;17.6;0.4;130;;;16.03;77.86;91.87;11.47
WO-202511-14560;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;1.1;21.7;0.968;0.0;0.0;0.0;0.612;79.1;MEHMET DEMİR;OPR-1002;2025;11;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;CU-ETP;Elektrolitik Bakır;20;2904;72.6;1;246;6.15;1;1;1;1;21.7;1.0;80;;;17.95;100.0;91.66;16.46
WO-202511-14561;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.0;9.4;1.093;0.0;0.0;0.0;0.873;40.1;AHMET YILMAZ;OPR-1001;2025;11;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;11;2100;31.5;0;100;1.5;1;1;1;1;9.4;1.1;50;;;24.98;80.78;94.98;19.17
WO-202511-14562;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;3.4;41.2;0.791;0.0;2.06;0.239;4.558;50.4;İBRAHİM ÖZTÜRK;OPR-2004;2025;11;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;CU-ETP;Elektrolitik Bakır;46;13784;206.76;3;916;13.74;1;1;1;1;41.2;0.8;45;;Anlık Arıza (Ağır Hizmet Extruder Hattı Eta - Yüksek Risk);64.83;100.0;92.56;60.0
WO-202511-14563;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;2.6;60.1;1.818;0.0;0.0;0.0;4.591;12.3;HÜSEYİN ÇELİK;OPR-1004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;57;3383;321.38;3;217;20.62;1;1;1;1;60.1;1.8;30;;;83.35;43.04;90.27;32.38
WO-202511-14564;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;0.0;23.4;0.421;0.0;0.0;0.0;1.331;76.4;OSMAN YILDIZ;OPR-2002;2025;11;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;21;6103;48.82;0;302;2.42;1;1;1;1;23.4;0.4;120;;;22.68;59.43;94.41;12.73
WO-202511-14565;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İZOLASYON EKSTRÜZYON;0.9;15.9;0.557;0.0;0.0;0.0;0.642;134.6;MEHMET DEMİR;OPR-1002;2025;11;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;17;5184;41.47;1;306;2.45;1;1;1;1;15.9;0.6;130;;;14.69;99.38;90.19;13.17
WO-202511-14566;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.8;20.8;2.068;0.0;3.0;0.0;1.494;12.4;HÜSEYİN ÇELİK;OPR-1004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;19;1113;105.73;2;147;13.96;1;1;1;1;20.8;2.1;30;;Anlık Arıza (Süper Ağır Hizmet Extruder Hattı Iota - Çok Yüksek Risk);47.72;36.67;86.86;15.2
WO-202511-14567;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;0.0;11.8;1.796;0.0;0.0;0.0;0.575;17.9;HÜSEYİN ÇELİK;OPR-1004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;11;616;58.52;0;44;4.18;1;1;1;1;11.8;1.8;30;;;30.37;58.33;88.17;15.62
WO-202511-14568;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;5.2;44.8;0.923;0.0;0.0;0.0;1.3;89.7;MEHMET DEMİR;OPR-1002;2025;11;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;47;6999;174.98;6;951;23.78;1;1;1;1;44.8;0.9;90;;;25.28;86.38;84.47;18.45
WO-202511-14569;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;4.5;51.3;0.971;0.0;1.014;0.0;3.157;36.0;İSMAİL ÖZDEMİR;OPR-2001;2025;11;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;46;6819;102.28;4;681;10.21;1;1;1;1;51.3;1.0;40;;Anlık Arıza (Ağır Hizmet Extruder Hattı Gamma - Yüksek Risk);55.12;87.05;91.44;43.87
WO-202511-14570;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.1;30.2;1.89;0.0;2.148;0.0;1.383;19.7;HÜSEYİN ÇELİK;OPR-1004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;28;1638;155.61;1;102;9.69;1;1;1;1;30.2;1.9;30;;Anlık Arıza (Süper Ağır Hizmet Extruder Hattı Iota - Çok Yüksek Risk);38.74;70.58;91.54;25.03
WO-202511-14571;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;2.9;29.4;2.001;0.0;0.0;0.0;1.539;20.3;İBRAHİM ÖZTÜRK;OPR-2004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;32;1878;178.41;3;222;21.09;1;1;1;1;29.4;2.0;30;;;43.01;60.37;83.99;21.81
WO-202511-14572;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DOLGU KAPLAMA;5.4;42.4;0.758;0.0;0.0;0.0;1.585;40.7;HÜSEYİN ÇELİK;OPR-1004;2025;11;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;39;3872;58.08;5;528;7.92;1;1;1;1;42.4;0.8;40;;;29.26;93.82;89.15;24.47
WO-202511-14573;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;3.5;40.0;1.002;0.0;0.0;0.0;1.604;44.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;11;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;AL-1350;Alüminyum Alaşım;44;4305;64.58;4;495;7.42;1;1;1;1;40.0;1.0;50;;;29.15;79.71;85.44;19.85
WO-202511-14574;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.0;32.8;0.741;0.0;0.0;0.0;2.428;31.8;ALİ KAYA;OPR-1005;2025;11;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;31;4638;69.57;2;312;4.68;1;1;1;1;32.8;0.7;40;;;41.81;71.95;93.98;28.27
WO-202511-14575;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;1.9;53.7;0.312;0.0;0.0;0.0;1.997;144.6;AHMET YILMAZ;OPR-1001;2025;11;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;57;17328;138.62;2;667;5.34;1;1;1;1;53.7;0.3;130;;;31.34;100.0;95.43;29.91
WO-202511-14576;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;3.4;32.2;0.876;0.0;0.0;0.0;1.051;73.3;HASAN AYDIN;OPR-2003;2025;11;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;31;4621;115.53;3;479;11.98;1;1;1;1;32.2;0.9;80;;;26.05;78.51;89.48;18.3
WO-202511-14577;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2004;Kombine Extruder Hattı Theta;DOLGU KAPLAMA;1.9;35.8;0.932;0.0;0.0;0.0;0.944;106.3;İSMAİL ÖZDEMİR;OPR-2001;2025;11;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;41;6025;120.5;2;425;8.5;1;1;1;1;35.8;0.9;110;;;22.32;90.79;92.15;18.67
WO-202511-14578;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;0.0;10.4;1.029;0.0;0.0;0.0;0.182;82.6;HASAN AYDIN;OPR-2003;2025;11;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;10;904;22.6;0;96;2.4;1;1;1;1;10.4;1.0;90;;;13.81;95.49;88.41;11.66
WO-202511-14579;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;0.9;31.0;0.927;0.0;0.0;0.0;3.01;47.7;HÜSEYİN ÇELİK;OPR-1004;2025;11;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;29;8606;129.09;1;544;8.16;1;1;1;1;31.0;0.9;50;;;45.23;86.43;90.8;35.5
WO-202511-14580;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;1.0;23.1;0.911;0.0;0.0;0.0;1.575;38.1;MUSTAFA ŞAHİN;OPR-1003;2025;11;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;24;3600;54.0;1;150;2.25;1;1;1;1;23.1;0.9;50;;;33.59;65.16;94.45;20.67
WO-202511-14581;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DOLGU KAPLAMA;6.7;39.8;1.059;0.0;1.715;0.0;3.337;22.0;MUSTAFA ŞAHİN;OPR-1003;2025;11;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;AL-1350;Alüminyum Alaşım;44;4400;66.0;6;600;9.0;1;1;1;1;39.8;1.1;40;;Anlık Arıza (Ağır Hizmet Extruder Hattı Gamma - Yüksek Risk);48.09;55.93;87.68;23.58
WO-202511-14582;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;21.11.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;3.0;28.4;0.826;0.0;0.0;0.108;4.017;22.8;OSMAN YILDIZ;OPR-2002;2025;11;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;28;5505;82.58;3;695;10.42;1;1;1;1;28.4;0.8;40;;;58.7;56.27;86.09;28.44
WO-202511-14583;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;1.7;33.6;0.812;0.0;0.0;0.0;2.409;43.5;AHMET YILMAZ;OPR-1001;2025;11;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;32;6280;94.2;2;520;7.8;1;1;1;1;33.6;0.8;45;;;34.64;100.0;92.27;31.97
WO-202511-14584;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;2.1;44.7;0.766;0.0;0.0;0.0;6.563;29.9;OSMAN YILDIZ;OPR-2002;2025;11;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;39;11785;176.78;2;720;10.8;1;1;1;1;44.7;0.8;50;;;99.34;63.58;91.82;58.0
WO-202511-14585;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;2.2;30.1;0.782;0.0;0.0;0.0;0.699;74.4;OSMAN YILDIZ;OPR-2002;2025;11;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;AL-1350;Alüminyum Alaşım;32;3124;62.48;2;276;5.52;1;1;1;1;30.1;0.8;110;;;18.29;74.22;89.39;12.14
WO-202511-14586;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2004;Kombine Extruder Hattı Theta;DIŞ KILIF SIVAMA;0.0;10.0;1.108;0.0;0.0;0.0;0.426;115.2;İSMAİL ÖZDEMİR;OPR-2001;2025;11;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;10;2945;58.9;0;105;2.1;1;1;1;1;10.0;1.1;110;;;16.4;98.87;95.85;15.54
WO-202511-14587;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;2.0;30.4;0.482;0.0;0.0;0.0;0.76;145.6;AHMET YILMAZ;OPR-1001;2025;11;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;AL-1350;Alüminyum Alaşım;27;6640;53.12;2;610;4.88;1;1;1;1;30.4;0.5;130;;;14.14;100.0;90.6;12.81
WO-202511-14588;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;0.0;23.2;0.411;0.0;0.0;0.0;0.254;132.6;MEHMET DEMİR;OPR-1002;2025;11;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;CU-ETP;Elektrolitik Bakır;21;2018;16.14;0;82;0.66;1;1;1;1;23.2;0.4;130;;;8.92;91.57;93.3;7.62
WO-202511-14589;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;ÇELİK ZIRH SARMAL;1.1;12.0;2.097;2.67;0.0;0.0;0.846;14.1;HÜSEYİN ÇELİK;OPR-1004;2025;11;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;12;717;68.11;1;63;5.99;1;1;1;1;12.0;2.1;30;Planlı Bakım (Cumartesi Gece Periyodu);;60.54;46.53;86.26;24.3
WO-202511-14590;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;2.0;37.7;1.103;0.0;0.0;0.0;27.116;18.0;SÜLEYMAN KOÇ;OPR-2005;2025;11;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;37;29285;439.27;2;1915;28.72;1;1;1;1;37.7;1.1;45;;;100.0;40.95;89.64;36.71
WO-202511-14591;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;1.7;41.8;0.688;3.119;0.0;0.0;1.268;71.9;SÜLEYMAN KOÇ;OPR-2005;2025;11;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;CU-ETP;Elektrolitik Bakır;37;5472;136.8;2;378;9.45;1;1;1;1;41.8;0.7;90;Planlı Bakım (Cumartesi Gece Periyodu);;42.72;69.86;90.64;27.05
WO-202511-14592;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;3.5;48.7;0.933;0.0;0.0;0.0;1.069;75.6;HASAN AYDIN;OPR-2003;2025;11;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;49;4850;121.25;4;450;11.25;1;1;1;1;48.7;0.9;90;;;24.43;71.77;90.52;15.87
WO-202511-14593;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;1.0;21.1;0.748;0.0;0.0;0.0;0.873;64.3;SÜLEYMAN KOÇ;OPR-2005;2025;11;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;23;3372;84.3;1;228;5.7;1;1;1;1;21.1;0.7;80;;;21.88;87.6;89.48;17.15
WO-202511-14594;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;22.11.2025;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;4.0;40.6;0.851;0.0;0.0;0.0;1.192;57.3;SÜLEYMAN KOÇ;OPR-2005;2025;11;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;41;4100;102.5;4;400;10.0;1;1;1;1;40.6;0.9;80;;;27.08;73.37;89.59;17.8
